"Time.Series","region_final_dep","date","index"
201712,"Oceania",2017-12-15,0.948907777461655
201712,"Russia",2017-12-15,0.580893483015671
201712,"South America",2017-12-15,0.892413596938399
201712,"South-eastern Asia",2017-12-15,0.838579361312843
201712,"Southern Asia",2017-12-15,0.9891398769492
201712,"Western Asia",2017-12-15,0.65935069921848
201801,"Africa",2018-01-15,0.723379029277437
201801,"Europe",2018-01-15,0.643752455246982
201801,"Japan/Korea",2018-01-15,0.808584833390625
201801,"North America",2018-01-15,0.801900019296884
201801,"Oceania",2018-01-15,0.960655486972746
201801,"Russia",2018-01-15,0.585000910977233
201801,"South America",2018-01-15,0.925494444198177
201801,"South-eastern Asia",2018-01-15,0.848853120062945
201801,"Southern Asia",2018-01-15,0.979476727277741
201801,"Western Asia",2018-01-15,0.641164436064422
201802,"Africa",2018-02-15,0.637087683797704
201802,"Europe",2018-02-15,0.585520375590437
201802,"Japan/Korea",2018-02-15,0.753355585386431
201802,"North America",2018-02-15,0.706550745471087
201802,"Oceania",2018-02-15,0.830534636498951
201802,"Russia",2018-02-15,0.5149256064043
201802,"South America",2018-02-15,0.79808871551635
201802,"South-eastern Asia",2018-02-15,0.806886085654874
201802,"Southern Asia",2018-02-15,0.875730227967011
201802,"Western Asia",2018-02-15,0.573176234550845
201803,"Africa",2018-03-15,0.739418566049452
201803,"Europe",2018-03-15,0.699986834474346
201803,"Japan/Korea",2018-03-15,0.832292849563886
201803,"North America",2018-03-15,0.846703718986368
201803,"Oceania",2018-03-15,0.862579469984602
201803,"Russia",2018-03-15,0.606282893401848
201803,"South America",2018-03-15,0.869054017613074
201803,"South-eastern Asia",2018-03-15,0.867834718422248
201803,"Southern Asia",2018-03-15,0.974978498792027
201803,"Western Asia",2018-03-15,0.67780201534891
201804,"Africa",2018-04-15,0.753744665806021
201804,"Europe",2018-04-15,0.7406959787623
201804,"Japan/Korea",2018-04-15,0.810530490684786
201804,"North America",2018-04-15,0.825812130333963
201804,"Oceania",2018-04-15,0.827489288076226
201804,"Russia",2018-04-15,0.655240795891881
201804,"South America",2018-04-15,0.83538443636686
201804,"South-eastern Asia",2018-04-15,0.825214297757244
201804,"Southern Asia",2018-04-15,0.932565096479402
201804,"Western Asia",2018-04-15,0.71441566177366
201805,"Africa",2018-05-15,0.747105567660416
201805,"Europe",2018-05-15,0.777156152213935
201805,"Japan/Korea",2018-05-15,0.822202881836505
201805,"North America",2018-05-15,0.862924478883414
201805,"Oceania",2018-05-15,0.798702620192023
201805,"Russia",2018-05-15,0.761080980263311
201805,"South America",2018-05-15,0.873630212258227
201805,"South-eastern Asia",2018-05-15,0.80829098597932
201805,"Southern Asia",2018-05-15,0.936716821591497
201805,"Western Asia",2018-05-15,0.752951516482
201806,"Africa",2018-06-15,0.769631729851596
201806,"Europe",2018-06-15,0.837030934330519
201806,"Japan/Korea",2018-06-15,0.819176062305749
201806,"North America",2018-06-15,0.922970415118522
201806,"Oceania",2018-06-15,0.818259663623079
201806,"Russia",2018-06-15,0.930404447986654
201806,"South America",2018-06-15,0.879832236210234
201806,"South-eastern Asia",2018-06-15,0.803411357580418
201806,"Southern Asia",2018-06-15,0.905938859416571
201806,"Western Asia",2018-06-15,0.759929116473695
201807,"Africa",2018-07-15,0.857185034663288
201807,"Europe",2018-07-15,0.95205429897225
201807,"Japan/Korea",2018-07-15,0.867900637099321
201807,"North America",2018-07-15,0.995606118497921
201807,"Oceania",2018-07-15,0.901641736115251
201807,"Russia",2018-07-15,0.957434480876818
201807,"South America",2018-07-15,0.949956918524757
201807,"South-eastern Asia",2018-07-15,0.854585178061833
201807,"Southern Asia",2018-07-15,0.94623324413573
201807,"Western Asia",2018-07-15,0.823955625813734
201808,"Africa",2018-08-15,0.894947182556486
201808,"Europe",2018-08-15,0.962037111956044
201808,"Japan/Korea",2018-08-15,0.900786771238274
201808,"North America",2018-08-15,0.94827903799255
201808,"Oceania",2018-08-15,0.876587167124123
201808,"Russia",2018-08-15,0.909684249246825
201808,"South America",2018-08-15,0.914142498559333
201808,"South-eastern Asia",2018-08-15,0.862236359565276
201808,"Southern Asia",2018-08-15,0.950751681809699
201808,"Western Asia",2018-08-15,0.856916777913122
201809,"Africa",2018-09-15,0.792594320470147
201809,"Europe",2018-09-15,0.884009219201003
201809,"Japan/Korea",2018-09-15,0.834225542537411
201809,"North America",2018-09-15,0.848159152945139
201809,"Oceania",2018-09-15,0.853119922480211
201809,"Russia",2018-09-15,0.851850060918904
201809,"South America",2018-09-15,0.880905579074132
201809,"South-eastern Asia",2018-09-15,0.78948713276782
201809,"Southern Asia",2018-09-15,0.917186535754633
201809,"Western Asia",2018-09-15,0.765227098262948
201810,"Africa",2018-10-15,0.75383575340883
201810,"Europe",2018-10-15,0.841039954698179
201810,"Japan/Korea",2018-10-15,0.870446068891934
201810,"North America",2018-10-15,0.827377572912363
201810,"Oceania",2018-10-15,0.875769355483426
201810,"Russia",2018-10-15,0.741680014713793
201810,"South America",2018-10-15,0.894321325930523
201810,"South-eastern Asia",2018-10-15,0.829131381541445
201810,"Southern Asia",2018-10-15,0.925080749916663
201810,"Western Asia",2018-10-15,0.747856389795635
201811,"Africa",2018-11-15,0.713209296440346
201811,"Europe",2018-11-15,0.693922561194122
201811,"Japan/Korea",2018-11-15,0.823816978571142
201811,"North America",2018-11-15,0.758659504463627
201811,"Oceania",2018-11-15,0.839658103919685
201811,"Russia",2018-11-15,0.630510915752307
201811,"South America",2018-11-15,0.878356707226975
201811,"South-eastern Asia",2018-11-15,0.828765130639338
201811,"Southern Asia",2018-11-15,0.919084515351563
201811,"Western Asia",2018-11-15,0.648884919372217
201812,"Africa",2018-12-15,0.766007235325911
201812,"Europe",2018-12-15,0.712721276799689
201812,"Japan/Korea",2018-12-15,0.861080239984325
201812,"North America",2018-12-15,0.84542283793995
201812,"Oceania",2018-12-15,0.967724740349206
201812,"Russia",2018-12-15,0.66517191565128
201812,"South America",2018-12-15,0.973915159507661
201812,"South-eastern Asia",2018-12-15,0.908918992816152
201812,"Southern Asia",2018-12-15,0.967036919345024
201812,"Western Asia",2018-12-15,0.668528606405196
201901,"Africa",2019-01-15,0.763942417981802
201901,"Europe",2019-01-15,0.696514951462827
201901,"Japan/Korea",2019-01-15,0.871090636282646
201901,"North America",2019-01-15,0.831130039971864
201901,"Oceania",2019-01-15,0.972639156901855
201901,"Russia",2019-01-15,0.68466320178707
201901,"South America",2019-01-15,1
201901,"South-eastern Asia",2019-01-15,0.931342312622715
201901,"Southern Asia",2019-01-15,0.976692595827076
201901,"Western Asia",2019-01-15,0.656758738353345
201902,"Africa",2019-02-15,0.673615693681105
201902,"Europe",2019-02-15,0.634522421849877
201902,"Japan/Korea",2019-02-15,0.817651396094308
201902,"North America",2019-02-15,0.732126753480954
201902,"Oceania",2019-02-15,0.88750348091928
201902,"Russia",2019-02-15,0.57998388736004
201902,"South America",2019-02-15,0.857318817692865
201902,"South-eastern Asia",2019-02-15,0.873230186879955
201902,"Southern Asia",2019-02-15,0.883504344817591
201902,"Western Asia",2019-02-15,0.594802490285257
201903,"Africa",2019-03-15,0.765120220289427
201903,"Europe",2019-03-15,0.731568982412329
201903,"Japan/Korea",2019-03-15,0.897278719230699
201903,"North America",2019-03-15,0.864854698534548
201903,"Oceania",2019-03-15,0.890472356029556
201903,"Russia",2019-03-15,0.695924434654437
201903,"South America",2019-03-15,0.928617504839162
201903,"South-eastern Asia",2019-03-15,0.930188140005192
201903,"Southern Asia",2019-03-15,0.956233424123813
201903,"Western Asia",2019-03-15,0.684146841553857
201904,"Africa",2019-04-15,0.781227775738758
201904,"Europe",2019-04-15,0.786696733409541
201904,"Japan/Korea",2019-04-15,0.885699019090001
201904,"North America",2019-04-15,0.851851989577823
201904,"Oceania",2019-04-15,0.828038185338607
201904,"Russia",2019-04-15,0.726137965990759
201904,"South America",2019-04-15,0.867101729538839
201904,"South-eastern Asia",2019-04-15,0.86749495087811
201904,"Southern Asia",2019-04-15,0.877066981565115
201904,"Western Asia",2019-04-15,0.712565068323721
201905,"Africa",2019-05-15,0.742727917271071
201905,"Europe",2019-05-15,0.807452865579236
201905,"Japan/Korea",2019-05-15,0.911614696043351
201905,"North America",2019-05-15,0.891602907043071
201905,"Oceania",2019-05-15,0.81150611421742
201905,"Russia",2019-05-15,0.857817954799987
201905,"South America",2019-05-15,0.902626169156434
201905,"South-eastern Asia",2019-05-15,0.859400075558414
201905,"Southern Asia",2019-05-15,0.880049836700286
201905,"Western Asia",2019-05-15,0.737015493380038
201906,"Africa",2019-06-15,0.824105878645373
201906,"Europe",2019-06-15,0.888788804970236
201906,"Japan/Korea",2019-06-15,0.898052541674469
201906,"North America",2019-06-15,0.948400423761171
201906,"Oceania",2019-06-15,0.811698052169389
201906,"Russia",2019-06-15,0.962602959855694
201906,"South America",2019-06-15,0.902802096724146
201906,"South-eastern Asia",2019-06-15,0.849806911230906
201906,"Southern Asia",2019-06-15,0.86890489040252
201906,"Western Asia",2019-06-15,0.791840667973924
201907,"Africa",2019-07-15,0.902097460368725
201907,"Europe",2019-07-15,0.983073478459453
201907,"Japan/Korea",2019-07-15,0.945901364964413
201907,"North America",2019-07-15,1
201907,"Oceania",2019-07-15,0.861962149232135
201907,"Russia",2019-07-15,1
201907,"South America",2019-07-15,0.970741306130591
201907,"South-eastern Asia",2019-07-15,0.891879656053103
201907,"Southern Asia",2019-07-15,0.881677413148119
201907,"Western Asia",2019-07-15,0.841894980865885
201908,"Africa",2019-08-15,0.957734560230539
201908,"Europe",2019-08-15,1
201908,"Japan/Korea",2019-08-15,0.994225753692813
201908,"North America",2019-08-15,0.982862781976772
201908,"Oceania",2019-08-15,0.863895615940963
201908,"Russia",2019-08-15,0.995338041632091
201908,"South America",2019-08-15,0.95702218811413
201908,"South-eastern Asia",2019-08-15,0.912669036304614
201908,"Southern Asia",2019-08-15,0.909656718518321
201908,"Western Asia",2019-08-15,0.882613595067865
201909,"Africa",2019-09-15,0.826256932187359
201909,"Europe",2019-09-15,0.911999063529437
201909,"Japan/Korea",2019-09-15,0.928247065483327
201909,"North America",2019-09-15,0.852524702247394
201909,"Oceania",2019-09-15,0.837835573825298
201909,"Russia",2019-09-15,0.949403374674142
201909,"South America",2019-09-15,0.900982100639804
201909,"South-eastern Asia",2019-09-15,0.842205016650505
201909,"Southern Asia",2019-09-15,0.89405406736754
201909,"Western Asia",2019-09-15,0.798530706157631
201910,"Africa",2019-10-15,0.738903327043998
201910,"Europe",2019-10-15,0.791852895737542
201910,"Japan/Korea",2019-10-15,0.94282959728007
201910,"North America",2019-10-15,0.761532832216403
201910,"Oceania",2019-10-15,0.781556247001756
201910,"Russia",2019-10-15,0.799291596472489
201910,"South America",2019-10-15,0.837853655968793
201910,"South-eastern Asia",2019-10-15,0.866044276160205
201910,"Southern Asia",2019-10-15,0.89788855032651
201910,"Western Asia",2019-10-15,0.741313393999688
201911,"Africa",2019-11-15,0.742220301901939
201911,"Europe",2019-11-15,0.700247846336076
201911,"Japan/Korea",2019-11-15,0.933355318336953
201911,"North America",2019-11-15,0.744590353797903
201911,"Oceania",2019-11-15,0.844968974223714
201911,"Russia",2019-11-15,0.642071605400929
201911,"South America",2019-11-15,0.871304135821623
201911,"South-eastern Asia",2019-11-15,0.890378523568962
201911,"Southern Asia",2019-11-15,0.925108327038136
201911,"Western Asia",2019-11-15,0.663961886025107
201912,"Africa",2019-12-15,0.79571347681677
201912,"Europe",2019-12-15,0.715806670318457
201912,"Japan/Korea",2019-12-15,0.979646482383895
201912,"North America",2019-12-15,0.838455108891047
201912,"Oceania",2019-12-15,0.955490268142098
201912,"Russia",2019-12-15,0.646977412082062
201912,"South America",2019-12-15,0.966283550910945
201912,"South-eastern Asia",2019-12-15,0.965287900305713
201912,"Southern Asia",2019-12-15,0.964310889310592
201912,"Western Asia",2019-12-15,0.6877260213991
202001,"Africa",2020-01-15,0.815535426295427
202001,"Europe",2020-01-15,0.702780787734029
202001,"Japan/Korea",2020-01-15,1
202001,"North America",2020-01-15,0.812538450447359
202001,"Oceania",2020-01-15,1
202001,"Russia",2020-01-15,0.659923996003789
202001,"South America",2020-01-15,0.99006009242431
202001,"South-eastern Asia",2020-01-15,1
202001,"Southern Asia",2020-01-15,0.973881939816827
202001,"Western Asia",2020-01-15,0.676085785842799
202002,"Africa",2020-02-15,0.702044827575623
202002,"Europe",2020-02-15,0.617558116227628
202002,"Japan/Korea",2020-02-15,0.684981680716264
202002,"North America",2020-02-15,0.699483986529987
202002,"Oceania",2020-02-15,0.737346371026878
202002,"Russia",2020-02-15,0.536578714909028
202002,"South America",2020-02-15,0.877044407627407
202002,"South-eastern Asia",2020-02-15,0.658326769177519
202002,"Southern Asia",2020-02-15,0.838268813570133
202002,"Western Asia",2020-02-15,0.584363169800241
202003,"Africa",2020-03-15,0.46029159715874
202003,"Europe",2020-03-15,0.410407649727828
202003,"Japan/Korea",2020-03-15,0.291916831476563
202003,"North America",2020-03-15,0.526745884382756
202003,"Oceania",2020-03-15,0.501693858715052
202003,"Russia",2020-03-15,0.371814623472818
202003,"South America",2020-03-15,0.636879266589831
202003,"South-eastern Asia",2020-03-15,0.352674361968515
202003,"Southern Asia",2020-03-15,0.551865671209769
202003,"Western Asia",2020-03-15,0.384808918164457
202004,"Africa",2020-04-15,0.0544260307775109
202004,"Europe",2020-04-15,0.0356454164776984
202004,"Japan/Korea",2020-04-15,0.0578926007731393
202004,"North America",2020-04-15,0.0382374467658993
202004,"Oceania",2020-04-15,0.0395570786490285
202004,"Russia",2020-04-15,0.0459507277887776
202004,"South America",2020-04-15,0.0307545399471017
202004,"South-eastern Asia",2020-04-15,0.0470416918305029
202004,"Southern Asia",2020-04-15,0.0712206528641419
202004,"Western Asia",2020-04-15,0.0546087682556386
202005,"Africa",2020-05-15,0.0754077630597593
202005,"Europe",2020-05-15,0.0428424364141315
202005,"Japan/Korea",2020-05-15,0.0647102808149481
202005,"North America",2020-05-15,0.0313747239325943
202005,"Oceania",2020-05-15,0.0278896158046187
202005,"Russia",2020-05-15,0.0528432419736861
202005,"South America",2020-05-15,0.0303650520117618
202005,"South-eastern Asia",2020-05-15,0.0499201819468022
202005,"Southern Asia",2020-05-15,0.0633865399859315
202005,"Western Asia",2020-05-15,0.0559089518679873
202006,"Africa",2020-06-15,0.0622268918919855
202006,"Europe",2020-06-15,0.0575853540968978
202006,"Japan/Korea",2020-06-15,0.0559174438272289
202006,"North America",2020-06-15,0.0522985847313614
202006,"Oceania",2020-06-15,0.0327534694105492
202006,"Russia",2020-06-15,0.056020177929828
202006,"South America",2020-06-15,0.0409897380203023
202006,"South-eastern Asia",2020-06-15,0.050251642079703
202006,"Southern Asia",2020-06-15,0.0911251244522863
202006,"Western Asia",2020-06-15,0.0881920828354403
202007,"Africa",2020-07-15,0.145911250774368
202007,"Europe",2020-07-15,0.139075044530623
202007,"Japan/Korea",2020-07-15,0.0828059882429914
202007,"North America",2020-07-15,0.113808011894566
202007,"Oceania",2020-07-15,0.0461586876575847
202007,"Russia",2020-07-15,0.150045289815965
202007,"South America",2020-07-15,0.0659714526353118
202007,"South-eastern Asia",2020-07-15,0.0716618479964531
202007,"Southern Asia",2020-07-15,0.151703955601255
202007,"Western Asia",2020-07-15,0.174844837206713
202008,"Africa",2020-08-15,0.191835738953623
202008,"Europe",2020-08-15,0.184039682078128
202008,"Japan/Korea",2020-08-15,0.0935150605037857
202008,"North America",2020-08-15,0.143686574331142
202008,"Oceania",2020-08-15,0.0479857457770506
202008,"Russia",2020-08-15,0.202522241228498
202008,"South America",2020-08-15,0.084056206318247
202008,"South-eastern Asia",2020-08-15,0.0752716690737716
202008,"Southern Asia",2020-08-15,0.179692418259886
