,relative,real,name,avg_cases,cases
0,0.18534552430187562,6.697866029268291,avila,34.48936170212766,1621.0
1,0.8646728906254919,10.440641790243905,cadiz,21.638297872340427,1017.0
2,0.4915453380221369,35.64291379786342,ciudad_real,68.85106382978724,3236.0
3,0.4055088106260237,16.396044729268297,soria,41.02127659574468,1928.0
4,1.231962586060846,5.9685043097560975,huelva,7.851063829787234,369.0
5,8.876396506308586,57.62453344146343,bizkaia,145.2127659574468,6825.0
6,0.8671466622261023,8.484890212195124,jaen,24.893617021276597,1170.0
7,0.4368978271066686,10.401996988214634,guadalajara,24.425531914893618,1148.0
8,0.8483663672182201,8.404783906341464,badajoz,17.02127659574468,800.0
9,0.30905265178819175,21.56350250243902,leon,63.744680851063826,2996.0
10,1.6982573372126204,21.311243634146344,malaga,54.4468085106383,2559.0
11,0.26734627472651507,16.50747628780488,segovia,64.04255319148936,3010.0
12,0.5191332992948768,14.428735737512065,albacete,32.723404255319146,1538.0
13,2.6554777769237736,16.730624544682925,gipuzkoa,37.361702127659576,1756.0
14,0.4500593222499089,33.26661581951218,alicante,78.12765957446808,3672.0
15,0.4122472723889794,20.407171575609752,burgos,45.829787234042556,2154.0
16,5.8514112619493055,14.929353390536583,tarragona,23.78723404255319,1118.0
17,0.6058967781278787,26.299504946892682,cuenca,46.723404255319146,2196.0
18,0.40072833803947666,30.971055107317063,valladolid,78.65957446808511,3697.0
19,2.590272904218148,19.447254189951224,toledo,50.08510638297872,2354.0
20,0.6193861348544141,22.38403338747805,caceres,39.87234042553192,1874.0
21,1.1466925464243567,33.37106659869757,araba/alava,45.61702127659574,2144.0
22,13.948329548185717,53.202775547039025,girona,51.02127659574468,2398.0
23,2.0161769147111257,245.69742950536588,zamora,16.127659574468087,758.0
24,0.73359625241075,10.30476715414634,cordoba,24.170212765957448,1136.0
25,3.9797442554823643,175.01928893463412,barcelona,679.8510638297872,31953.0
26,1.4456073178992224,10.413084605853662,lleida,33.319148936170215,1566.0
27,0.3323815333463854,10.686941258536587,castellon,33.744680851063826,1586.0
28,0.2835466325548622,34.72561392195122,valencia,106.68085106382979,5014.0
29,1.0129119304302818,12.45009936585366,granada,44.93617021276596,2112.0
30,0.2603283495779656,19.631460902439027,salamanca,74.17021276595744,3486.0
31,1.2560599762621332,5.818169944390243,almeria,9.787234042553191,460.0
32,0.5066454504881418,8.407751977560979,palencia,21.97872340425532,1033.0
33,0.7733969655209396,10.638548766341465,sevilla,43.08510638297872,2025.0
